Subject Code,Course Number,Name,Description,Dept Code,Dept Description
A A E,399,Coordinative Internship/Cooperative Education,None provided.,108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,419,Agricultural Finance,"Introduction to basic finance concepts. Topics include financial statements, ratio analysis and interpretation, investment analysis, capital budgeting, credit concepts, and capital markets.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,421,Economic Decision Analysis,"Managerial oriented, applied presentation of microeconomic theory. Quantitative emphasis with extensive homework use of spreadsheets and written executive summaries of applied economic analyses. Applications on natural resources and agricultural markets.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,462,Latin American Economic Development,"A historico-institutional analysis of development problems in the principal Latin American countries, with attention to differentiation of national growth patterns and alternative development strategies.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,473,Economic Growth and Development in Southeast Asia,"Evaluates economic development strategies in Southeast Asia and their inplications for growth, distribution and environment. Students learn trade and development theory as well as specific knowledge of Southeast Asian economic development.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,474,Economic Problems of Developing Areas,"Analyzes aggregate growth, income distribution and poverty in lower income economies. Uses microeconomics of imperfect labor, capital and insurance markets to explore why some individuals advance economically as their economies grow and others fall behind. Considers implications of aggregate and micro analysis for national and international economic policy.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,477,Agricultural and Economic Development in Africa,"Composition, organization, and techniques of agricultural production; economic change and development of agriculture, economic policies, special problems of developing African agriculture.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,500,Senior Capstone Experience,"Teaches students how to apply economic theory to economic problems, utilize quantitative techniques in economic analyses, and communicate findings and results of economic analyses.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,520,Community Economic Analysis,"Economic theory (location and growth) applicable to community economic development; the role of private and public sector in local ecomonic development, and techniques for ecomonic analysis of community.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,526,Quantitative Methods in Agricultural and Applied Economics,"Use of quantitative methods (mathematics, statistics, and optimization) to analyze problems faced by decision makers in natural resources and agriculture. Extensive homework requiring use of quantitative methods via spreadsheet tools to solve problems from an applied decision context.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,531,Natural Resource Economics,"Economic concepts and tools relating to management and use of natural resources, including pricing principles, cost-benefit analysis, equity, externalities, economic rent, renewable and nonrenewable resources, and resource policy issues.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,540,"Intellectual Property Rights, Innovation and Technology","Uses economic concepts to illustrate the nature of technological innovation, competition, and economic growth. Topics: economics of the intellectual property protection (IPP); market structure and innovation; interaction between public and private sectors; IPP and anticompetitive policies; globalization.  ",108,AGRICULTURAL AND APPLIED ECON
A A E,561,Energy Markets,"Energy resources are an essential element of the world's business, political, technical and environmental landscape. Analytic tools provided by the discipline of economics expands our understanding of this critical issue. Energy supply markets reviewed include both fossil fuels and renewable resources. Energy demand sectors include residential, commercial, industrial and transportation. Electricity represents an intermediate energy market. The interactions among these markets participants indicate how scarce resources are allocated among competing needs in the world economy.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,575,Special Topics,Special topics in Agricultural Economics at the intermediate level. Topics will vary from semester to semester.,108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,635,Applied Microeconomic Theory,"Microeconomic theory applied to consumers, producers, markets, and welfare analysis. Emphasis is on the mathematics of duality and optimization methods. Computer applications of the theory.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,636,Applied Econometric Analysis I,"Introduction to the standard linear regression model with an emphasis on application issues. Includes statistical foundation, hypothesis testing, functional form, model selection and procedures for handling violations of model assumption..",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,637,Applied Econometric Analysis II,"Extension of the standard regression model is the primary focus. Topics: nonlinear regression models, maximum likelihood estimation, panel data, simultaneous equations, linear and nonlinear systems, analysis of discrete choice, limited dependent variables. Empirical economic applications and policy analysis.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,641,Foundations of Agricultural Economics,"Overview of the economic performance of agriculture in feeding the growing world population. Examines contemporary economic issues in the food sector, along with research methods used in their analysis. Covers production analysis, risk and uncertainty, food demand, market structure, policy and welfare analysis.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,642,Foundations of Development Economics,"An overview of development economics, covering both basic theory and empirical applications. Topics include economic growth, trade, measurement of poverty and inequality, human capital, agricultural household models, technology adoption, migration, credit, savings, insurance, infrastructure, and the environment.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,643,Foundations of Environmental and Natural Resource Economics,"Survey of historical topics and contemporary research questions in environmental and resource economics. Focus areas include foundational models of human/environment interaction, definition and evaluation of the suite of environmental policy instruments, measuring environmental costs and benefits, and examining natural resource use.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,652,Decision Methods for Natural Resource Managers,"Applications of quantitative methods, including optimization and simulation, to the management of natural resources, especially forests.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,671,Energy Economics,"The method, application, and limitations of traditional economic approaches to the study of energy problems. Topics include microeconomic foundations of energy demand and supply; optimal pricing and allocation of energy resources; energy market structure, conduct, and performance; macro linkages of energy and the economy; and the economics of regulatory and other public policy approaches to the social control of energy.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,681,Senior Honors Thesis,None provided.,108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,682,Senior Honors Thesis,Continuation of 681.,108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,691,Senior Thesis,None provided.,108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,692,Senior Thesis,None provided.,108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,699,Special Problems,None provided.,108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,706,Applied Risk Analysis,Conceptual empirical analysis of economic behavior under risk and its implications for management and policy decisions. Emphasis on economic applications to the agricultural and food sector.,108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,730,Frontiers in Development Economics 1,"Theory and empirical evidence on growth and development in low-income countries. Topics may include: measurement of poverty and inequality, risk and insurance, social networks, technology adoption, education, corruption, institutions, and behavioral economics.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,731,Frontiers in Development Economics 2,"Theory and evidence on growth and development in emerging economies, with primary focus on globalization, trade, labor markets and human capital. We use open-economy general equilibrium models to examine welfare implications of global shocks and domestic economic policies.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,737,Applied Econometric Analysis III,"Prepares students for their own empirical work by examining contemporary econometric techniques as they are used in development, environment and natural resources, and agricultural economics. Guides students through a selection of applied models using past and current research as examples. By hearing lectures and working through papers, problem sets, replication exercises, and/or research projects, students will develop a deeper understanding of the many facets of empirical research in economics.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,746,Frontiers in Agricultural Economics 1,"Economics of agricultural technology innovation and adoption, properties and measurement of production and productivity, and impact evaluation. Empirical methods, including surveys, experiments, randomized trials, and instrumental variable methods of testing applied microeconomic models.  ",108,AGRICULTURAL AND APPLIED ECON
A A E,760,Frontiers in Environmental and Natural Resource Economics 1,"Economic tools and principles pertaining to the optimal management of natural resources. Theoretical models characterize efficient resource use and predict management decisions under different institutional settings. Empirical applications relate to public and private management of forests, fish, wildlife, minerals, and energy resources. Examples highlight the importance of discount rates, property rights, and government policies.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,762,Frontiers in Environmental and Natural Resource Economics 2,"The role of markets and government in the allocation of environmental goods and services. Topics include public goods, externalities and market failure; policy instruments for dealing with environmental quality problems such as air pollution; and distributional impacts of environmental regulations.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,770,Introduction to Quantitative Methods in Resource and Energy Economics,"The fundamental mathematics and statistics necessary for the study of quantitative methods in resource and energy demand. Topics include the mathematics of optimization and its role in basic welfare theory and consumer demand; linear and matrix algebra and their application in both modeling consumer behavior and the statistical analysis of models; and the fundamentals of statistical analysis relevant to econometric analysis of resource and energy demand, including probability theory, sampling distributions, and statistical inference.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,771,Microeconomics of Resources and Energy: Theory to Practice,"Applying economic theory to the practice of resource and energy demand analysis. Topics include consumer demand theory and the proper modeling of demand systems, theoretical underpinnings of behavioral economics, welfare theory, cost benefit analysis and cost-effectiveness analysis, and technology adoption and diffusion.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,772,Applied Econometrics of Resource and Energy Demand,"The estimation of the economic models of resource and energy demand, including evaluation of energy and resource programs, estimating demand systems in the study of dynamic pricing models, estimating discrete choice models, forecasting resource and energy demand from econometric models, and topics in the application of big-data analytics in resource and energy demand analysis.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,773,Seminar in Resource and Energy Demand Analysis,"Current issues in resource and demand analysis, with presentations by academic researchers and industry professionals, to introduce students to current issues in resource and demand analysis, and to develop their critical thinking about addressing these issues.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,774,Practicum in Resource and Energy Demand Analysis I,"The first in a 2-course sequence that comprises the capstone course in Resource and Energy Demand Analysis, in which students synthesize their training in a simulated 'real world' analysis. The course is designed to reflect the full range of professional responsibilities of a resource/energy demand analyst, from data retrieval/cleaning to analysis to reporting.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,776,Practicum in Resource and Energy Demand Analysis II,"The second in a 2-course sequence that comprises the capstone course in Resource and Energy Demand Analysis, in which students synthesize their training in a simulated 'real world' analysis. The courses is designed to reflect the full range of professional responsibilities of a resource/energy demand analyst, from data retrieval/cleaning, to analysis, to reporting.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,777,Survey and Sample Design in Applied Economics,"Teaches generation and use of survey data. Topics include identification of target population, random, stratified, & cluster sampling, power analysis, survey collection & implementation, retrospective and prospective surveys of respondent choice, experimental choice in survey design, and econometric modeling of respondent choices.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,780,Research Colloquium,"For AAE Ph.D. students to develop a dissertation proposal. Working in groups and with some additional feedback from individual advisors. Developing research questions, literature search, word models, math models, testable hypotheses, identification strategies. Working with data, using LATEX, giving presentations. Peer review of weekly assignments. Developing cohort for subsequent feedback through dissertation writing and job search.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,799,Practicum in Agricultural and Applied Economics Teaching,"Instructional orientation to teaching at the higher education level in the agricultural and life sciences, direct teaching experience under faculty suppervision, experience in testing and evaluation of students, and the analysis of teaching performance.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,835,Game Theory and Political Analysis,"An introduction to the tools of game theoretic analysis, with reference to the use of game theory in political science. Intended for those desiring a basic familiarity with the theory, and for those planning further work in formal modeling.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,875,Special Topics,Special Topics,108,AGRICULTURAL AND APPLIED ECON
A A E,881,Benefit-Cost Analysis,"This course will present the welfare economics underpinnings for evaluating the social benefits and costs of government activities. Issues such as uncertainty, the social discount rate, and welfare weights will be discussed; case studies from the environmental, social policy, and agricultural areas will be studied.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,982,Interdepartmental Seminar in the Latin-American Area,None provided.,108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,990,Research and Thesis,None provided.,108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,999,Special Work - Agricultural and Applied Economics,None provided.,108,AGRICULTURAL AND APPLIED ECONOMICS
A F AERO,101,The Foundations of the United States Air Force I,"Introduces students to the Air Force Reserve Officer Training Corps. Featured topics include: mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force officer opportunities, and an introduction to communication skills. Leadership lab activities. Open to all students.",102,AIR FORCE AEROSPACE STUDIES
A F AERO,102,The Foundations of the United States Air Force II,Continuation of 101. Leadership lab activities. Open to all students.,102,AIR FORCE AEROSPACE STUDIES
A F AERO,201,The Evolution of US Air and Space Power I,Examines air and space power through a historical perspective. Covers a time period from the first balloons to the space-age global positioning system. Further develops communication skills. Leadership lab activities. Open to all students.,102,AIR FORCE AEROSPACE STUDIES
A F AERO,202,The Evolution of US Air and Space Power II,Continuation of 201. Leadership lab activities. Open to all students.,102,AIR FORCE AEROSPACE STUDIES
A F AERO,301,Leadership Studies I,"Topics include leadership, management fundamentals, professional knowledge, personnel and evaluation systems. Includes leadership ethics and communication skills required of an Air Force junior officer. Case studies to exercise practical applications of the course content. Includes leadership lab activities.",102,AIR FORCE AEROSPACE STUDIES
A F AERO,302,Leadership Studies II,Continuation of 303. Includes leadership lab activities.,102,AIR FORCE AEROSPACE STUDIES
A F AERO,303,Leadership Studies I,Leadership Studies I,102,AIR FORCE AEROSPACE STUDIES
A F AERO,304,Leadership Studies II,Leadership Studies II,102,AIR FORCE AEROSPACE STUDIES
A F AERO,401,National Security Affairs,"Examines national security, regional studies, advanced leadership ethics, and Air Force doctrine. Special topics include military as a profession, officership, military justice, civilian control, preparation for active duty, and current military issues. Final refinement of communication skills. Includes leadership lab activities.",102,AIR FORCE AEROSPACE STUDIES
A F AERO,402,Preparation for Active Duty,Continuation of 401. Includes leadership lab activities.,102,AIR FORCE AEROSPACE STUDIES
ACCT I S,100,Introductory Financial Accounting,"Examines generally accepted accounting principles for measurement and reporting of financial information in a balance sheet, income statement, and statement of cash flows; introduction to analysis and interpretation of financial accounting data for decision-making purposes.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,211,Introductory Managerial Accounting,"Managerial accounting concepts relevant for decision-making; use of accounting information for planning, decision-making, and control of business operations in various management and business environments.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,300,Accounting Principles,"Introduction to accounting from a user's perspective. Covers both financial and managerial accounting. Accounting theory principles, presentation and interpretation of financial reports, financial statement analysis. Measurement, classification, planning and control of costs.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,301,Financial Reporting I,"Examines current and emerging financial accounting theory and techniques used to measure and report financial information to investors, creditors, and other external users. Emphasizes asset and income determination, preparation and interpretation of financial statements, and related disclosure requirements.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,302,Financial Reporting II,"Examines current and emerging financial accounting theory and techniques used to measure and report financial information to investors, creditors, and other external users, including dilutive securities, investments, revenue recognition, income tax allocation, pensions, leases and accounting changes.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,310,Cost Management Systems.,"Design of actual and standard cost systems for reporting product costs in job costing, process costing, and activity costing production environments. Overhead allocation methods. Budgeting and profit planning procedures. Techniques for variance analysis and performance evaluation. Behavioral considerations in the design and use of cost accounting information systems.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,329,Taxation: Concepts for Business and Personal Planning,"An introduction to the U.S. income taxation concepts with emphasis on business and personal planning strategies. Taxes are placed in a framework which considers all costs of doing business. Includes approaches and skills needed to prepare individual, corporate, and partnership income tax returns.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,340,Accounting Systems,"Principles and problems of system design; organization for accounting control, internal control procedures and internal reports. Developing control, security, and auditability into information system applications.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,365,Contemporary Topics,A course for the exploration of subject areas possibly to be introduced into the business curriculum.,232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,399,Reading and Research-Accounting,None provided.,232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,406,Advanced Financial Reporting,"Theoretical, procedural, and practical issues associated with the preparation of financial statements of alternative reporting entities, including the accounting for mergers and acquisitions, consolidations, foreign operations, and complex financial instruments.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,600,Accountancy Internship and Practice Research,The internship program represents an opportunity for students to experience a professional accounting practice first hand and to integrate this experience with their formal education.,232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,601,Professional Practice Issues in Accounting and Auditing,"Study of current accounting and audit issues within a case context. Students will be required to perform computerized research, analyze topical accounting and audit issues, and make case presentations. Intensive three week course to build on experiences developed during the internship program.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,603,Financial Statement Analysis,"Analysis and interpretation of financial statements, including profitability and ratio analysis, cash flow analysis, accounting-based equity valuation, market impact of accounting choices, earnings quality, earnings management, mergers and acquisitions, intangibles, accounting-based trading strategies, accounting and credit ratings, and international accounting.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,620,Fundamentals of Taxation,"Application of federal tax provisions and administrative rules common to most taxpayers with introductions to rules specific to corporations, pass-through entities, and individuals.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,621,Corporate and Advanced Taxation,"Application of federal tax provisions and administrative rules pertaining to corporations and shareholders, including elective provisions for 'S' corporations. Emphasis on tax planning and the consequences of corporate and shareholder decisions.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,630,Audit and Assurance Services,"Evolution of assurance services; role of assurance services as part of corporate governance; professional standards and ethical concepts; evidence concepts and evaluation of evidence, business and information technology risk analysis, the audit risk model, assurance reports, and development of audit and assurance programs.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,631,"Information Technology, Risk, and Assurance Services","Operational and information systems auditing; risk analysis, electronic evidence; computerized audit and assurance techniques; internal auditing and outsourcing; analytical techniques; auditor judgment; control concepts, business process risk analysis; reporting on controls and business processes; expanding technology and assurance.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,700,Financial Accounting,"Measurement and reporting guidelines underlying preparation of general purpose financial statements; current measurement and reporting issues; analysis and interpretation of financial statement data for investment, lending, and related decisions.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,701,Financial Reporting I,"Examines current and emerging financial accounting theory and techniques used to measure and report financial information to investors, ceditors, and other external users. Emphasizes asset and liability valuations and their relationships to income determination, preparation and interpretation of financial statements, and related disclosure requirements.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,702,Financial Reporting II,"Examines current and emerging financial accounting theory and techniques used to measure and report financial information to investors, creditors, and orther external users, including dilutive securities, investments, revenue recognition, income tax allocation, pensions, leases and accounting changes.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,706,Advanced Financial Reporting,"Accounting principles related to formation, maintenance, expansion, contraction and liquidation of the business enterprise.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,710,Managerial Accounting,"Interpretation and use of accounting data for management planning, decision making and control. Consideration of cost-volume-profit relationships, relevant costs, variable (direct) costing, activity-based costing, transfer pricing and performance evaluation of segments of the firm.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,711,Strategic Cost Management,"Development and analysis of cost and other performance measurement information for managerial planning, control, and decision-making. Integration of information needs for various managerial functions.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,722,Taxation of Pass-Through Entities,"Analysis of federal tax provisions and administrative rules regarding pass-through entities, such as partnerships, S-corporations, and limited liability companies; including their application to entity formation and operation, property and ownership basis, distributions, and interest transfers.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,724,Research and Administrative Issues in Taxation,Methodologies and tools for tax research; utilization of tax research tools; preparation of investigative reports; professional and interprofessional responsibilities; administrative procedures and techniques.,232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,725,Taxation of Cross-Jurisdictional Transactions,"An introduction to international and multistate tax issues. Topics covered may include tax treaties, foreign tax credit provisions, Subpart F rules, multistate apportionment, nexus, sales tax, and use tax.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,726,Advanced Corporate Taxation,"This course addresses the application of federal tax law to a variety of complex corporate tax topics and analysis on corporations and their shareholders. Primary legal sources of the code, regulations, and case law are applied to determine the tax treatment for advanced topics such as: 1) Tax and non-tax factors considered by buyers and sellers in both stock and asset acquisitions, 2) Taxable asset acquisitions, 3) Consolidations, 4) Divestitures and divisive D reorganizations, and 5) Codification of the economic substance doctrine. The emphasis of the class in regard to these topics is on tax planning and the consequences of corporate and shareholder decisions.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,730,Advanced Assurance Services,"Operational and information systems auditing; risk analysis, electronic evidence; computerized audit and assurance techniques; internal auditing and outsourcing; analytical techniques; auditor judgment; control concepts, business process risk analysis; reporting on controls and business processes; expanding technology and assurance.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,765,Contemporary Topics,None provided.,232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,770,Seminar in Financial Reporting Theory,"Intensive study and critical examination of accounting and financial reporting theories, concepts and standards; evaluations of the pronouncements of accounting standard-setters and financial reporting regulators.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,771,Seminar in Strategic Cost Management and Performance Measurement,"Development and analysis of accounting data for managerial planning, control, decision-making, and costing. Integration of financial and non-financial information needs for various managerial functions.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,772,Seminar in Current Taxation Topics,Readings and cases in taxation; analysis and integration of related tax provisions and taxpayer impact.,232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,799,Reading and Research-Accounting,Individual work suited to the needs of graduate students may be arranged both during regular sessions and the intersession periods.,232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,971,Seminar in Accounting Research,"Methods of inquiry and research methodology in accounting. Analysis of current research, with the emphasis on empirical research in accounting.",232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,990,Accounting Independent Research PhD Thesis,Individual work to complete dissertation requirement of Ph.D. program.,232,ACCOUNTING AND INFORMATION SYSTEMS
ACCT I S,999,Reading and Research-Accounting PhD,Individual work suited to the needs of Ph.D. students may be arranged both during regular sessions and during the intersession periods.,232,ACCOUNTING AND INFORMATION SYSTEMS
ACT SCI,300,Actuarial Science Methods I,Develop a knowledge of fundamental mathematical tools for quantitatively assessing risk. Emphasize the applications of these tools to problems encountered in actuarial science.,242,ACTUARIAL SCIENCE
ACT SCI,301,Actuarial Science Methods II,Develop a knowledge of mathematical tools for quantitatively assessing financial risk. Emphasize the applications to problems encountered in actuarial science.,242,ACTUARIAL SCIENCE
ACT SCI,303,Theory of Interest and Life Insurance,"Application of calculus to compound interest and insurance functions; interest compounded discretely and continuously; force of interest function; annuities payable discretely and continuously; bonds and yield rates; life tables, life annuities, single and annual premiums for insurance and annuities; reserves.",242,ACTUARIAL SCIENCE
ACT SCI,365,Contemporary Topics,A course for the exploration of subject areas possibly to be introduced into the business curriculum.  ,242,ACTUARIAL SCIENCE
ACT SCI,650,Actuarial Mathematics I,"Advanced problems in the mathematical theory of life contingencies; force of mortality, laws of mortality; premiums and reserves for insurance and annuities based on a single life.",242,ACTUARIAL SCIENCE
ACT SCI,651,Actuarial Mathematics II,"Continuation of Act Sci 650. Joint life probabilities, annuities and insurances; multiple-decrement theory; pension fund mathematics.",242,ACTUARIAL SCIENCE
ACT SCI,652,Loss Models I,Definition and selection of probability distributions appropriate for insurance data that are heavily tailed and skewed.,242,ACTUARIAL SCIENCE
ACT SCI,653,Loss Models II,Estimation of parameters of probability distributions appropriate for insurance data that are heavy tailed and skewed; assessment of credibility of data for ratemaking.,242,ACTUARIAL SCIENCE
ACT SCI,654,Regression and Time Series for Actuaries,Linear regression and correlation; generalized linear regression models; introduction to time series; time series model building and forecasting with focus on data of interest to actuaries.,242,ACTUARIAL SCIENCE
ACT SCI,655,Health Analytics,"The overall goal of this course is to provide students with an introduction to the broad area of health, integrating how researchers from multiple perspectives have investigated various aspects of health, along with the hands-on practice of learning and using statistical tools to analyze these topics.",242,ACTUARIAL SCIENCE
AdminUse,100,Study Abroad Placeholder Course,Study Abroad Placeholder Course,ZZZ,Registrar-Administrative Use
AdminUse,200,Exchange Placeholder Course,Exchange Placeholder Course,ZZZ,Registrar-Administrative Use
AdminUse,910,Graduate-Level Study Abroad,Graduate-Level Study Abroad,ZZZ,Registrar-Administrative Use
AdminUse,920,CIC Full Time Enrollment,CIC Full Time Enrollment,ZZZ,Registrar-Administrative Use
AFRICAN,100,Introduction to African Cultural Expression,"An introduction to current research in African cultural studies, ranging from various literary genres and uses of discourse; to diverse media including screen media, music, cartoons, and journalism; and to other forms of popular expression like soccer and drama. Through an introduction to these forms, students will also gain an overview of the diverse methods used by scholars in this field, such as textual analysis, film criticism, ethnomusicology, discourse analysis, and ethnography; and to the cultural diversity of Africa and its diasporic cultures.",104,AFRICAN LANGUAGES AND LITERATURE
